title,price,rating,availability,category,product_url
Full Moon over Noah's Ark,49.43,4,In stock,Travel,file:///home/claude/bookscraper/mock_site/catalogue/full-moon-over-noahs-ark_811/index.html
It's Only the Himalayas,45.17,4,In stock,Travel,file:///home/claude/bookscraper/mock_site/catalogue/its-only-the-himalayas_981/index.html
A Summer in Europe,26.08,3,In stock,Travel,file:///home/claude/bookscraper/mock_site/catalogue/a-summer-in-europe_458/index.html
title,price,rating,availability,category,product_url
It's Only the Himalayas,45.17,2,In stock,General,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Libertarianism for Beginners,51.33,2,In stock,General,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,General,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Olio,23.88,1,In stock,General,https://books.toscrape.com/catalogue/olio_984/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,General,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Rip it Up and Start Again,35.02,5,In stock,General,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,General,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Set Me Free,17.46,5,In stock,General,https://books.toscrape.com/catalogue/set-me-free_988/index.html
You can't bury them all: Poems,33.63,2,In stock,General,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Behind Closed Doors,52.22,4,In stock,General,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
"In a Dark, Dark Wood",19.63,1,In stock,General,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,General,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
Penny Maybe,33.29,3,In stock,General,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Sophie's World,15.94,5,In stock,General,https://books.toscrape.com/catalogue/sophies-world_966/index.html
The Bear and the Piano,36.89,1,In stock,General,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
The Elephant Tree,23.82,5,In stock,General,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,General,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Past Never Ends,56.5,4,In stock,General,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,General,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Secret of Dreadwillow Carse,56.13,1,In stock,General,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,General,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
Thirst,17.27,5,In stock,General,https://books.toscrape.com/catalogue/thirst_946/index.html
This One Summer,19.49,4,In stock,General,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
